815.252.091-83;Tânia Rocha Cavalcanti;(31) 9343-8434;Rua Eugênio Vidigal Amaro, 157;taniarochacavalcanti@dayrep.com
524.082.739-78;Luan Lima Correia;(21) 5309-7348;Rua Sérgio Martins Mota, 428;luanlimacorreia@armyspy.com
352.386.835-10;Carla Gomes Rocha;(11) 8530-3251;Travessa Enrique Aroca, 585;carlagomesrocha@teleworm.us
624.468.602-06;Luis Rocha Silva;(21) 8420-4599;Rua Hilda Monsanto, 9;luisrochasilva@dayrep.com
853.701.801-56;Clara Rodrigues Ferreira;(16) 6685-9306;Rua 79, 1464;clararodriguesferreira@rhyta.com
482.502.647-89;Júlio Sousa Costa;(32) 3192-9569;Rua João Batista Monteiro, 1317;juliosousacosta@teleworm.us
666.047.764-09;Igor Cavalcanti Pereira;(11) 4291-5492;Rua Cachoeira Monte Alto, 165;igorcavalcantipereira@armyspy.com
198.603.640-52;Sophia Azevedo Castro;(51) 3691-7937;Rua Mangueira, 1779;sophiaazevedocastro@teleworm.us
664.688.318-14;Lavinia Cunha Martins;(71) 2692-4452;Rua Barão Ernani Garcia Rosa, 863;laviniacunhamartins@jourrapide.com
473.978.978-78;Raissa Azevedo Pereira;(11) 4443-5953;Avenida Armando Bei, 1120;raissaazevedopereira@rhyta.com
